movimiento_id,fecha,sku,sucursal_id,tipo_movimiento,cantidad,costo_unitario,costo_total,usuario
MOV-000096,2023-01-03,SKU-1012,SUC-02,salida_venta,17,1957.92,33284.64,USR-15
MOV-000097,2023-01-03,SKU-1025,SUC-04,entrada,50,2204.78,110239.0,USR-03
MOV-000098,2023-01-03,SKU-1016,SUC-03,salida_venta,9,956.03,8604.27,USR-04
MOV-000099,2023-01-03,SKU-1020,SUC-08,devolucion,12,725.72,8708.64,USR-16
MOV-000100,2023-01-03,SKU-1009,SUC-04,entrada,15,752.7,11290.5,USR-16
MOV-000101,2023-01-03,SKU-1033,SUC-01,salida_venta,2,540.79,1081.58,USR-14
MOV-000102,2023-01-03,SKU-1019,SUC-05,vencimiento_baja,2,2430.01,4860.02,USR-02
MOV-000103,2023-01-03,SKU-1032,SUC-08,entrada,43,1830.51,78711.93,USR-18
MOV-000104,2023-01-03,SKU-1011,SUC-08,entrada,42,672.44,28242.48,USR-02
MOV-000105,2023-01-03,SKU-1010,SUC-10,devolucion,8,587.01,4696.08,USR-19
MOV-000106,2023-01-03,SKU-1033,SUC-01,salida_venta,20,540.79,10815.8,USR-07
MOV-000107,2023-01-03,SKU-1037,SUC-05,salida_venta,4,1152.38,4609.52,USR-04
MOV-000108,2023-01-04,SKU-1002,SUC-05,salida_venta,5,306.74,1533.7,USR-11
MOV-000109,2023-01-04,SKU-1025,SUC-01,entrada,20,2204.78,44095.6,USR-04
MOV-000110,2023-01-04,SKU-1032,SUC-03,salida_venta,3,1830.51,5491.53,USR-11
MOV-000111,2023-01-04,SKU-1022,SUC-07,salida_venta,10,2186.65,21866.5,USR-19
MOV-000112,2023-01-04,SKU-1008,SUC-10,entrada,4,1680.26,6721.04,USR-12
MOV-000113,2023-01-04,SKU-1012,SUC-05,salida_venta,7,1957.92,13705.44,USR-12
MOV-000114,2023-01-04,SKU-1010,SUC-08,vencimiento_baja,5,587.01,2935.05,USR-02
MOV-000115,2023-01-04,SKU-1007,SUC-03,entrada,45,2087.16,93922.2,USR-17
MOV-000116,2023-01-04,SKU-1007,SUC-04,salida_venta,8,2087.16,16697.28,USR-02
MOV-000117,2023-01-04,SKU-1031,SUC-09,entrada,40,1324.26,52970.4,USR-02
MOV-000118,2023-01-04,SKU-1023,SUC-07,entrada,43,470.95,20250.85,USR-02
MOV-000119,2023-01-04,SKU-1017,SUC-01,salida_venta,11,194.02,2134.22,USR-12
MOV-000120,2023-01-04,SKU-1006,SUC-09,devolucion,7,1191.81,8342.67,USR-08
MOV-000121,2023-01-04,SKU-1025,SUC-04,salida_venta,4,2204.78,8819.12,USR-08
MOV-000122,2023-01-04,SKU-1006,SUC-07,salida_venta,3,1191.81,3575.43,USR-20
MOV-000123,2023-01-04,SKU-1018,SUC-10,entrada,28,233.74,6544.72,USR-11
MOV-000124,2023-01-04,SKU-1037,SUC-03,devolucion,7,1152.38,8066.66,USR-13
MOV-000125,2023-01-04,SKU-1004,SUC-09,entrada,37,1102.73,40801.01,USR-15
MOV-000126,2023-01-04,SKU-1033,SUC-07,salida_venta,10,540.79,5407.9,USR-11
MOV-000127,2023-01-04,SKU-1022,SUC-01,entrada,26,2186.65,56852.9,USR-16
MOV-000128,2023-01-04,SKU-1035,SUC-05,entrada,37,901.11,33341.07,USR-04
MOV-000129,2023-01-04,SKU-1015,SUC-07,entrada,22,676.84,14890.48,USR-16
MOV-000130,2023-01-04,SKU-1028,SUC-04,devolucion,7,2488.26,17417.82,USR-16
MOV-000131,2023-01-04,SKU-1020,SUC-03,salida_venta,17,725.72,12337.24,USR-07
MOV-000132,2023-01-04,SKU-1007,SUC-10,salida_venta,14,2087.16,29220.24,USR-06
MOV-000133,2023-01-04,SKU-1032,SUC-02,salida_venta,8,1830.51,14644.08,USR-08
MOV-000134,2023-01-04,SKU-1020,SUC-07,devolucion,10,725.72,7257.2,USR-03
MOV-000135,2023-01-04,SKU-1028,SUC-01,ajuste_negativo,6,2488.26,14929.56,USR-20
MOV-000136,2023-01-04,SKU-1000,SUC-02,entrada,47,1627.41,76488.27,USR-11
MOV-000137,2023-01-04,SKU-1013,SUC-01,ajuste_negativo,7,240.18,1681.26,USR-19
MOV-000138,2023-01-04,SKU-1022,SUC-02,entrada,47,2186.65,102772.55,USR-02
MOV-000139,2023-01-04,SKU-1023,SUC-03,entrada,34,470.95,16012.3,USR-02
MOV-000140,2023-01-04,SKU-1002,SUC-08,salida_venta,4,306.74,1226.96,USR-14
MOV-000141,2023-01-04,SKU-1012,SUC-05,entrada,46,1957.92,90064.32,USR-19
MOV-000142,2023-01-04,SKU-1003,SUC-06,entrada,23,1398.76,32171.48,USR-11
MOV-000143,2023-01-04,SKU-1007,SUC-09,entrada,21,2087.16,43830.36,USR-06
MOV-000144,2023-01-04,SKU-1037,SUC-07,salida_venta,10,1152.38,11523.8,USR-07
MOV-000145,2023-01-04,SKU-1021,SUC-05,entrada,31,1178.01,36518.31,USR-07
MOV-000146,2023-01-04,SKU-1020,SUC-06,entrada,30,725.72,21771.6,USR-14
MOV-000147,2023-01-04,SKU-1022,SUC-08,entrada,37,2186.65,80906.05,USR-05
MOV-000148,2023-01-04,SKU-1024,SUC-03,salida_venta,13,350.72,4559.36,USR-15
MOV-000149,2023-01-04,SKU-1010,SUC-06,salida_venta,16,587.01,9392.16,USR-06
MOV-000150,2023-01-04,SKU-1026,SUC-05,entrada,35,1369.15,47920.25,USR-11
MOV-000151,2023-01-04,SKU-1025,SUC-03,entrada,43,2204.78,94805.54,USR-15
MOV-000152,2023-01-04,SKU-1028,SUC-02,entrada,45,2488.26,111971.7,USR-02
MOV-000153,2023-01-04,SKU-1022,SUC-10,ajuste_negativo,2,2186.65,4373.3,USR-20
MOV-000154,2023-01-04,SKU-1024,SUC-08,devolucion,16,350.72,5611.52,USR-03
MOV-000155,2023-01-04,SKU-1012,SUC-04,entrada,21,1957.92,41116.32,USR-07
MOV-000156,2023-01-04,SKU-1022,SUC-05,entrada,31,2186.65,67786.15,USR-04
MOV-000157,2023-01-04,SKU-1036,SUC-06,entrada,49,1165.64,57116.36,USR-09
MOV-000158,2023-01-04,SKU-1030,SUC-03,entrada,47,1792.98,84270.06,USR-07
MOV-000159,2023-01-04,SKU-1004,SUC-09,salida_venta,3,1102.73,3308.19,USR-17
MOV-000160,2023-01-04,SKU-1000,SUC-06,entrada,32,1627.41,52077.12,USR-04
MOV-000161,2023-01-04,SKU-1013,SUC-04,entrada,31,240.18,7445.58,USR-12
MOV-000162,2023-01-04,SKU-1028,SUC-04,salida_venta,3,2488.26,7464.78,USR-07
MOV-000163,2023-01-04,SKU-1002,SUC-01,entrada,45,306.74,13803.3,USR-01
MOV-000164,2023-01-04,SKU-1012,SUC-10,salida_venta,8,1957.92,15663.36,USR-09
MOV-000165,2023-01-04,SKU-1000,SUC-10,entrada,20,1627.41,32548.2,USR-11
MOV-000166,2023-01-04,SKU-1038,SUC-04,salida_venta,20,2103.19,42063.8,USR-02
MOV-000167,2023-01-04,SKU-1014,SUC-08,entrada,30,1037.43,31122.9,USR-17
MOV-000168,2023-01-04,SKU-1022,SUC-03,entrada,8,2186.65,17493.2,USR-02
MOV-000169,2023-01-04,SKU-1011,SUC-04,salida_venta,9,672.44,6051.96,USR-06
MOV-000170,2023-01-04,SKU-1035,SUC-06,entrada,7,901.11,6307.77,USR-20
MOV-000171,2023-01-04,SKU-1001,SUC-06,salida_venta,1,1862.26,1862.26,USR-17
MOV-000172,2023-01-04,SKU-1025,SUC-09,ajuste_negativo,13,2204.78,28662.14,USR-13
MOV-000173,2023-01-04,SKU-1003,SUC-05,salida_venta,15,1398.76,20981.4,USR-14
MOV-000174,2023-01-04,SKU-1035,SUC-10,entrada,28,901.11,25231.08,USR-05
MOV-000175,2023-01-04,SKU-1037,SUC-08,entrada,34,1152.38,39180.92,USR-05
MOV-000176,2023-01-04,SKU-1007,SUC-07,salida_venta,10,2087.16,20871.6,USR-13
MOV-000177,2023-01-05,SKU-1034,SUC-09,entrada,41,1210.2,49618.2,USR-18
MOV-000178,2023-01-05,SKU-1003,SUC-05,entrada,31,1398.76,43361.56,USR-19
MOV-000179,2023-01-05,SKU-1036,SUC-10,salida_venta,11,1165.64,12822.04,USR-08
MOV-000180,2023-01-05,SKU-1036,SUC-04,vencimiento_baja,7,1165.64,8159.48,USR-19
MOV-000181,2023-01-05,SKU-1017,SUC-07,entrada,23,194.02,4462.46,USR-02
MOV-000182,2023-01-05,SKU-1018,SUC-03,entrada,42,233.74,9817.08,USR-09
MOV-000183,2023-01-05,SKU-1002,SUC-07,ajuste_negativo,8,306.74,2453.92,USR-13
MOV-000184,2023-01-05,SKU-1027,SUC-01,vencimiento_baja,4,2191.29,8765.16,USR-06
MOV-000185,2023-01-05,SKU-1028,SUC-09,salida_venta,4,2488.26,9953.04,USR-07
MOV-000186,2023-01-05,SKU-1031,SUC-01,entrada,28,1324.26,37079.28,USR-02
MOV-000187,2023-01-05,SKU-1023,SUC-05,devolucion,9,470.95,4238.55,USR-14
MOV-000188,2023-01-05,SKU-1013,SUC-06,entrada,27,240.18,6484.86,USR-08
MOV-000189,2023-01-05,SKU-1015,SUC-09,entrada,4,676.84,2707.36,USR-14
MOV-000190,2023-01-05,SKU-1023,SUC-04,salida_venta,19,470.95,8948.05,USR-06
MOV-000191,2023-01-05,SKU-1012,SUC-02,salida_venta,8,1957.92,15663.36,USR-03
MOV-000192,2023-01-05,SKU-1001,SUC-09,vencimiento_baja,1,1862.26,1862.26,USR-05
MOV-000193,2023-01-05,SKU-1002,SUC-06,salida_venta,10,306.74,3067.4,USR-12
MOV-000194,2023-01-05,SKU-1027,SUC-05,entrada,46,2191.29,100799.34,USR-03
MOV-000195,2023-01-05,SKU-1023,SUC-07,salida_venta,15,470.95,7064.25,USR-10
MOV-000196,2023-01-05,SKU-1022,SUC-01,salida_venta,17,2186.65,37173.05,USR-14
MOV-000197,2023-01-05,SKU-1008,SUC-03,salida_venta,1,1680.26,1680.26,USR-03
MOV-000198,2023-01-05,SKU-1006,SUC-06,entrada,43,1191.81,51247.83,USR-06
MOV-000199,2023-01-05,SKU-1028,SUC-01,vencimiento_baja,8,2488.26,19906.08,USR-15
MOV-000200,2023-01-05,SKU-1030,SUC-09,salida_venta,20,1792.98,35859.6,USR-19
MOV-000201,2023-01-05,SKU-1009,SUC-07,devolucion,6,752.7,4516.2,USR-07
MOV-000202,2023-01-05,SKU-1013,SUC-06,salida_venta,10,240.18,2401.8,USR-20
MOV-000203,2023-01-05,SKU-1031,SUC-01,entrada,2,1324.26,2648.52,USR-06
MOV-000204,2023-01-05,SKU-1003,SUC-05,entrada,26,1398.76,36367.76,USR-15
MOV-000205,2023-01-05,SKU-1032,SUC-02,devolucion,7,1830.51,12813.57,USR-09
MOV-000206,2023-01-05,SKU-1013,SUC-07,devolucion,19,240.18,4563.42,USR-16
MOV-000207,2023-01-06,SKU-1035,SUC-01,entrada,36,901.11,32439.96,USR-08
MOV-000208,2023-01-06,SKU-1016,SUC-05,salida_venta,6,956.03,5736.18,USR-14
MOV-000209,2023-01-06,SKU-1030,SUC-07,entrada,16,1792.98,28687.68,USR-14
MOV-000210,2023-01-06,SKU-1037,SUC-10,devolucion,10,1152.38,11523.8,USR-15
MOV-000211,2023-01-06,SKU-1030,SUC-10,salida_venta,10,1792.98,17929.8,USR-19
MOV-000212,2023-01-06,SKU-1002,SUC-07,salida_venta,3,306.74,920.22,USR-13
MOV-000213,2023-01-06,SKU-1020,SUC-04,ajuste_negativo,9,725.72,6531.48,USR-14
MOV-000214,2023-01-06,SKU-1008,SUC-05,salida_venta,3,1680.26,5040.78,USR-01
MOV-000215,2023-01-06,SKU-1024,SUC-09,salida_venta,12,350.72,4208.64,USR-20
MOV-000216,2023-01-06,SKU-1029,SUC-10,devolucion,6,623.77,3742.62,USR-06
MOV-000217,2023-01-06,SKU-1031,SUC-01,devolucion,4,1324.26,5297.04,USR-12
MOV-000218,2023-01-06,SKU-1030,SUC-07,entrada,50,1792.98,89649.0,USR-11
MOV-000219,2023-01-06,SKU-1025,SUC-07,entrada,2,2204.78,4409.56,USR-19
MOV-000220,2023-01-06,SKU-1014,SUC-03,salida_venta,11,1037.43,11411.73,USR-07
MOV-000221,2023-01-06,SKU-1022,SUC-05,salida_venta,1,2186.65,2186.65,USR-10
MOV-000222,2023-01-06,SKU-1034,SUC-01,entrada,8,1210.2,9681.6,USR-13
MOV-000223,2023-01-06,SKU-1028,SUC-04,salida_venta,16,2488.26,39812.16,USR-04
MOV-000224,2023-01-06,SKU-1005,SUC-01,entrada,20,999.42,19988.4,USR-08
MOV-000225,2023-01-06,SKU-1007,SUC-02,entrada,17,2087.16,35481.72,USR-18
MOV-000226,2023-01-06,SKU-1002,SUC-06,entrada,5,306.74,1533.7,USR-17
MOV-000227,2023-01-06,SKU-1021,SUC-05,entrada,27,1178.01,31806.27,USR-17
MOV-000228,2023-01-06,SKU-1024,SUC-05,ajuste_negativo,9,350.72,3156.48,USR-08
MOV-000229,2023-01-06,SKU-1034,SUC-10,ajuste_negativo,3,1210.2,3630.6,USR-05
MOV-000230,2023-01-06,SKU-1012,SUC-09,ajuste_negativo,6,1957.92,11747.52,USR-02
MOV-000231,2023-01-06,SKU-1008,SUC-07,devolucion,9,1680.26,15122.34,USR-07
MOV-000232,2023-01-06,SKU-1001,SUC-09,entrada,19,1862.26,35382.94,USR-15
MOV-000233,2023-01-06,SKU-1030,SUC-04,salida_venta,5,1792.98,8964.9,USR-20
MOV-000234,2023-01-06,SKU-1003,SUC-06,salida_venta,13,1398.76,18183.88,USR-03
MOV-000235,2023-01-06,SKU-1018,SUC-05,salida_venta,12,233.74,2804.88,USR-10
MOV-000236,2023-01-06,SKU-1003,SUC-09,salida_venta,15,1398.76,20981.4,USR-06
MOV-000237,2023-01-06,SKU-1007,SUC-05,salida_venta,10,2087.16,20871.6,USR-16
MOV-000238,2023-01-06,SKU-1026,SUC-03,salida_venta,3,1369.15,4107.45,USR-06
MOV-000239,2023-01-06,SKU-1010,SUC-08,salida_venta,4,587.01,2348.04,USR-17
MOV-000240,2023-01-06,SKU-1015,SUC-01,vencimiento_baja,4,676.84,2707.36,USR-14
MOV-000241,2023-01-06,SKU-1039,SUC-01,entrada,4,1244.89,4979.56,USR-11
MOV-000242,2023-01-06,SKU-1023,SUC-05,entrada,21,470.95,9889.95,USR-15
MOV-000243,2023-01-06,SKU-1004,SUC-01,entrada,15,1102.73,16540.95,USR-17
MOV-000244,2023-01-06,SKU-1003,SUC-04,salida_venta,10,1398.76,13987.6,USR-14
MOV-000245,2023-01-06,SKU-1030,SUC-01,salida_venta,13,1792.98,23308.74,USR-09
MOV-000246,2023-01-06,SKU-1005,SUC-03,salida_venta,7,999.42,6995.94,USR-03
MOV-000247,2023-01-06,SKU-1033,SUC-07,entrada,10,540.79,5407.9,USR-09
MOV-000248,2023-01-06,SKU-1014,SUC-08,devolucion,10,1037.43,10374.3,USR-14
MOV-000249,2023-01-06,SKU-1004,SUC-01,entrada,40,1102.73,44109.2,USR-09
MOV-000250,2023-01-06,SKU-1016,SUC-01,salida_venta,10,956.03,9560.3,USR-09
MOV-000251,2023-01-06,SKU-1007,SUC-01,entrada,34,2087.16,70963.44,USR-18
MOV-000252,2023-01-06,SKU-1014,SUC-01,devolucion,12,1037.43,12449.16,USR-17
MOV-000253,2023-01-06,SKU-1021,SUC-09,entrada,37,1178.01,43586.37,USR-20
MOV-000254,2023-01-06,SKU-1018,SUC-02,entrada,43,233.74,10050.82,USR-12
MOV-000255,2023-01-06,SKU-1037,SUC-05,entrada,35,1152.38,40333.3,USR-08
MOV-000256,2023-01-06,SKU-1037,SUC-10,devolucion,9,1152.38,10371.42,USR-07
MOV-000257,2023-01-06,SKU-1028,SUC-03,entrada,15,2488.26,37323.9,USR-01
MOV-000258,2023-01-06,SKU-1022,SUC-02,vencimiento_baja,6,2186.65,13119.9,USR-10
MOV-000259,2023-01-06,SKU-1016,SUC-03,ajuste_negativo,9,956.03,8604.27,USR-07
MOV-000260,2023-01-06,SKU-1039,SUC-10,devolucion,5,1244.89,6224.45,USR-17
MOV-000261,2023-01-06,SKU-1007,SUC-02,salida_venta,12,2087.16,25045.92,USR-10
MOV-000262,2023-01-06,SKU-1013,SUC-01,salida_venta,1,240.18,240.18,USR-13
MOV-000263,2023-01-06,SKU-1004,SUC-03,devolucion,19,1102.73,20951.87,USR-18
MOV-000264,2023-01-06,SKU-1035,SUC-06,entrada,37,901.11,33341.07,USR-13
MOV-000265,2023-01-06,SKU-1021,SUC-09,ajuste_negativo,14,1178.01,16492.14,USR-12
MOV-000266,2023-01-06,SKU-1000,SUC-02,entrada,1,1627.41,1627.41,USR-04
MOV-000267,2023-01-06,SKU-1036,SUC-07,entrada,44,1165.64,51288.16,USR-05
MOV-000268,2023-01-06,SKU-1006,SUC-07,salida_venta,19,1191.81,22644.39,USR-10
MOV-000269,2023-01-06,SKU-1036,SUC-04,salida_venta,15,1165.64,17484.6,USR-14
MOV-000270,2023-01-06,SKU-1035,SUC-07,entrada,43,901.11,38747.73,USR-03
MOV-000271,2023-01-06,SKU-1009,SUC-06,devolucion,17,752.7,12795.9,USR-14
MOV-000272,2023-01-06,SKU-1018,SUC-04,salida_venta,1,233.74,233.74,USR-18
MOV-000273,2023-01-06,SKU-1023,SUC-03,ajuste_negativo,13,470.95,6122.35,USR-09
MOV-000274,2023-01-06,SKU-1015,SUC-06,entrada,10,676.84,6768.4,USR-01
MOV-000275,2023-01-06,SKU-1006,SUC-08,salida_venta,14,1191.81,16685.34,USR-06
MOV-000276,2023-01-06,SKU-1019,SUC-05,entrada,32,2430.01,77760.32,USR-14
MOV-000277,2023-01-06,SKU-1029,SUC-06,salida_venta,11,623.77,6861.47,USR-07
MOV-000278,2023-01-06,SKU-1005,SUC-10,entrada,32,999.42,31981.44,USR-05
MOV-000279,2023-01-06,SKU-1032,SUC-10,salida_venta,17,1830.51,31118.67,USR-06
MOV-000280,2023-01-06,SKU-1033,SUC-07,entrada,1,540.79,540.79,USR-02
MOV-000281,2023-01-06,SKU-1026,SUC-04,entrada,39,1369.15,53396.85,USR-08
MOV-000282,2023-01-06,SKU-1017,SUC-03,entrada,36,194.02,6984.72,USR-03
MOV-000283,2023-01-07,SKU-1026,SUC-08,entrada,6,1369.15,8214.9,USR-06
